Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.041666666666666664,0.02631578947368421,0.010416666666666666,0.045454545454545456,0.017857142857142856
0.02631578947368421,0.019230769230769232,0.045454545454545456,0.010101010101010102,0.037037037037037035
0.011235955056179775,0.038461538461538464,0.011235955056179775,0.015625,0.02
0.06666666666666667,0.010869565217391304,0.06666666666666667,0.014492753623188406,0.018518518518518517
0.023255813953488372,0.010752688172043012,0.011111111111111112,0.010416666666666666,0.011235955056179775
0.012195121951219513,0.058823529411764705,0.08333333333333333,0.015384615384615385,0.010752688172043012
0.023809523809523808,0.011764705882352941,0.014705882352941176,0.06666666666666667,0.03125
0.047619047619047616,0.017241379310344827,0.06666666666666667,0.07692307692307693,0.01639344262295082
0.01694915254237288,0.023255813953488372,0.03333333333333333,0.01020408163265306,0.016666666666666666
0.02857142857142857,0.038461538461538464,0.02631578947368421,0.013157894736842105,0.011494252873563218
0.013888888888888888,0.013157894736842105,0.010752688172043012,0.016129032258064516,0.010869565217391304
0.041666666666666664,0.014925373134328358,0.020833333333333332,0.014492753623188406,0.010101010101010102
0.011627906976744186,0.011111111111111112,0.05555555555555555,0.012195121951219513,0.017857142857142856
0.034482758620689655,0.0136986301369863,0.012048192771084338,0.01282051282051282,0.03333333333333333
0.014492753623188406,0.013333333333333334,0.038461538461538464,0.05263157894736842,0.1
0.022222222222222223,0.023255813953488372,0.01,0.03571428571428571,0.034482758620689655
0.05555555555555555,0.0625,0.09090909090909091,0.015384615384615385,0.012658227848101266
0.05263157894736842,0.015873015873015872,0.016666666666666666,0.01818181818181818,0.019230769230769232
0.027777777777777776,0.014925373134328358,0.010309278350515464,0.030303030303030304,0.02
0.017857142857142856,0.027777777777777776,0.04,0.02702702702702703,0.010869565217391304

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.041666666666666664,0.02631578947368421,0.010416666666666666,0.045454545454545456,0.03571428571428571
0.02631578947368421,0.019230769230769232,0.045454545454545456,0.010101010101010102,0.037037037037037035
0.011235955056179775,0.038461538461538464,0.011235955056179775,0.015625,0.02
0.06666666666666667,0.010869565217391304,0.06666666666666667,0.014492753623188406,0.018518518518518517
0.023255813953488372,0.010752688172043012,0.011111111111111112,0.010416666666666666,0.011235955056179775
0.012195121951219513,0.058823529411764705,0.08333333333333333,0.03076923076923077,0.010752688172043012
0.023809523809523808,0.011764705882352941,0.014705882352941176,0.06666666666666667,0.03125
0.047619047619047616,0.017241379310344827,0.06666666666666667,0.07692307692307693,0.01639344262295082
0.03389830508474576,0.023255813953488372,0.03333333333333333,0.01020408163265306,0.016666666666666666
0.02857142857142857,0.038461538461538464,0.02631578947368421,0.039473684210526314,0.022988505747126436
0.013888888888888888,0.039473684210526314,0.010752688172043012,0.03225806451612903,0.010869565217391304
