Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.024390243902439025,0.02127659574468085,0.07142857142857142,0.010638297872340425,0.015873015873015872
0.0196078431372549,0.03225806451612903,0.018518518518518517,0.02040816326530612,0.019230769230769232
0.023255813953488372,0.02,0.01098901098901099,0.013888888888888888,0.010526315789473684
0.018867924528301886,0.023255813953488372,0.019230769230769232,0.014084507042253521,0.010869565217391304
0.03333333333333333,0.02631578947368421,0.022727272727272728,0.018867924528301886,0.0136986301369863
0.023809523809523808,0.02702702702702703,0.02631578947368421,0.018518518518518517,0.01
0.012048192771084338,0.011764705882352941,0.1,0.038461538461538464,0.012048192771084338
0.015625,0.01,0.023809523809523808,0.011363636363636364,0.019230769230769232
0.030303030303030304,0.02631578947368421,0.02,0.037037037037037035,0.010869565217391304
0.021739130434782608,0.08333333333333333,0.015873015873015872,0.02127659574468085,0.041666666666666664
0.03125,0.01020408163265306,0.02631578947368421,0.011904761904761904,0.043478260869565216
0.0136986301369863,0.02040816326530612,0.02702702702702703,0.010101010101010102,0.010309278350515464
0.018867924528301886,0.08333333333333333,0.09090909090909091,0.03225806451612903,0.01818181818181818
0.047619047619047616,0.0136986301369863,0.07142857142857142,0.023255813953488372,0.1
0.01098901098901099,0.010752688172043012,0.08333333333333333,0.022727272727272728,0.034482758620689655
0.024390243902439025,0.015384615384615385,0.013333333333333334,0.025,0.013513513513513514
0.07692307692307693,0.047619047619047616,0.0125,0.015151515151515152,0.023809523809523808
0.03125,0.07692307692307693,0.034482758620689655,0.015384615384615385,0.018518518518518517
0.015151515151515152,0.025,0.015625,0.013888888888888888,0.01818181818181818
0.013513513513513514,0.015384615384615385,0.013513513513513514,0.02127659574468085,0.014084507042253521

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6585365853658537,0.6808510638297872,0.6428571428571429,0.6808510638297872,0.6666666666666666
0.6666666666666666,0.6774193548387096,0.7037037037037037,0.6938775510204082,0.7115384615384616
0.6744186046511628,0.7,0.6703296703296703,0.6944444444444444,0.6842105263157895
0.6981132075471698,0.6744186046511628,0.7115384615384616,0.676056338028169,0.6739130434782609
0.6666666666666666,0.6842105263157895,0.6818181818181818,0.6981132075471698,0.6986301369863014
0.6666666666666666,0.6756756756756757,0.9736842105263158,0.6666666666666666,0.7
0.6987951807228916,0.8235294117647058,0.7,0.6923076923076923,0.6987951807228916
0.6875,0.7,0.6666666666666666,0.75,0.7115384615384616
0.6666666666666666,0.6842105263157895,0.7,0.6666666666666666,0.6739130434782609
0.6739130434782609,0.6666666666666666,0.6666666666666666,0.6808510638297872,0.6666666666666666
0.6875,0.6938775510204082,0.9736842105263158,0.6666666666666666,0.6521739130434783
0.6986301369863014,0.6938775510204082,0.7027027027027027,0.6666666666666666,0.6597938144329897
0.6981132075471698,0.6666666666666666,0.7272727272727273,0.6774193548387096,0.6363636363636364
0.6666666666666666,0.6986301369863014,0.6428571428571429,0.6744186046511628,0.6
0.6703296703296703,0.6666666666666666,0.6666666666666666,0.6818181818181818,0.9655172413793104
0.6829268292682927,0.6923076923076923,0.6666666666666666,0.65,0.7027027027027027
0.6923076923076923,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666
0.6875,0.6923076923076923,0.6551724137931034,0.6923076923076923,0.7037037037037037
0.6666666666666666,0.625,0.65625,0.6944444444444444,0.8181818181818182
0.7027027027027027,0.6923076923076923,0.7027027027027027,0.6808510638297872,0.676056338028169

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
