
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.48148148148148145,0.5,0.5081967213114754,0.5098039215686274,0.5
0.5063291139240507,0.5,0.48,0.5,0.5121951219512195
0.5,0.4827586206896552,0.5,0.5294117647058824,0.5
0.4943820224719101,0.5098039215686274,0.5081967213114754,0.47368421052631576,0.4942528735632184
0.5121951219512195,0.5,0.5,0.5,0.5087719298245614
0.5,0.5,0.5,0.5,0.5
0.5294117647058824,0.5,0.5,0.5,0.5
0.45454545454545453,0.5,0.5,0.5058823529411764,0.49230769230769234
0.5,0.5294117647058824,0.5,0.5,0.49206349206349204
0.5,0.5,0.5,0.5,0.49473684210526314
0.49382716049382713,0.4939759036144578,0.5,0.49295774647887325,0.5121951219512195
0.4942528735632184,0.4942528735632184,0.5,0.5294117647058824,0.5
0.49206349206349204,0.5161290322580645,0.5,0.5,0.5
0.5102040816326531,0.5,0.5,0.5,0.5217391304347826
0.49019607843137253,0.5,0.5051546391752577,0.49473684210526314,0.5
0.5,0.5,0.48148148148148145,0.4943820224719101,0.5
0.5061728395061729,0.5,0.5,0.5,0.4827586206896552
0.5,0.5072463768115942,0.49206349206349204,0.5,0.48148148148148145
0.494949494949495,0.45454545454545453,0.49473684210526314,0.5,0.5384615384615384
0.509090909090909,0.5,0.47368421052631576,0.5087719298245614,0.5081967213114754

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.037037037037037035,0.5,0.5081967213114754,0.5098039215686274,0.5
0.9873417721518988,0.5,0.48,0.5,0.5121951219512195
0.5,0.4827586206896552,0.5,0.5294117647058824,0.5
0.011235955056179775,0.5098039215686274,0.5081967213114754,0.5263157894736842,0.4942528735632184
0.024390243902439025,0.5,0.5,0.5,0.5087719298245614
0.5,0.5,0.5,0.5,0.5
0.9411764705882353,0.5,0.5,0.5,0.5
0.9090909090909091,0.4883720930232558,0.5,0.5058823529411764,0.49230769230769234
0.5,0.5294117647058824,0.5,0.5,0.5079365079365079
0.020833333333333332,0.5,0.5,0.5,0.49473684210526314
0.9876543209876543,0.4939759036144578,0.5,0.5070422535211268,0.5121951219512195
0.9885057471264368,0.4942528735632184,0.5,0.47058823529411764,0.5
0.9841269841269841,0.5161290322580645,0.5,0.5,0.5
0.9795918367346939,0.5294117647058824,0.5,0.5,0.4782608695652174
0.9803921568627451,0.4791666666666667,0.5051546391752577,0.49473684210526314,0.5
0.5,0.5,0.48148148148148145,0.4943820224719101,0.5
0.012345679012345678,0.5,0.5,0.5,0.4827586206896552
0.9615384615384616,0.5072463768115942,0.49206349206349204,0.5,0.5185185185185185
0.010101010101010102,0.45454545454545453,0.49473684210526314,0.5,0.5384615384615384
0.9818181818181818,0.5,0.5263157894736842,0.5087719298245614,0.5081967213114754

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.8888888888888888,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.4609053497942387,0.5,0.4918032786885246,0.49019607843137253,0.5
0.4936708860759494,0.5,0.52,0.5,0.4878048780487805
