
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.010416666666666666,0.010101010101010102,0.010309278350515464,0.021739130434782608,0.012195121951219513
0.012987012987012988,0.013513513513513514,0.014285714285714285,0.0125,0.0196078431372549
0.023809523809523808,0.0625,0.017857142857142856,0.011627906976744186,0.012345679012345678
0.011235955056179775,0.013888888888888888,0.05,0.047619047619047616,0.012345679012345678
0.013333333333333334,0.014285714285714285,0.02,0.019230769230769232,0.010101010101010102
0.03125,0.011363636363636364,0.015151515151515152,0.010752688172043012,0.045454545454545456
0.010869565217391304,0.01282051282051282,0.04,0.014925373134328358,0.03225806451612903
0.010638297872340425,0.03125,0.010638297872340425,0.030303030303030304,0.01818181818181818
0.017543859649122806,0.01282051282051282,0.01818181818181818,0.022727272727272728,0.025
0.06666666666666667,0.05555555555555555,0.03571428571428571,0.03225806451612903,0.03125
0.022727272727272728,0.02631578947368421,0.01694915254237288,0.011363636363636364,0.015151515151515152
0.03571428571428571,0.013888888888888888,0.04,0.027777777777777776,0.011363636363636364
0.011904761904761904,0.015384615384615385,0.05555555555555555,0.010309278350515464,0.016666666666666666
0.020833333333333332,0.010309278350515464,0.02564102564102564,0.014084507042253521,0.01694915254237288
0.014492753623188406,0.013513513513513514,0.02631578947368421,0.013888888888888888,0.07142857142857142
0.012195121951219513,0.07142857142857142,0.019230769230769232,0.013157894736842105,0.01818181818181818
0.04,0.01694915254237288,0.02702702702702703,0.025,0.01
0.058823529411764705,0.07692307692307693,0.02040816326530612,0.058823529411764705,0.01020408163265306
0.04,0.038461538461538464,0.02631578947368421,0.058823529411764705,0.01
0.010309278350515464,0.010752688172043012,0.013333333333333334,0.011764705882352941,0.017857142857142856

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.5,0.010101010101010102,0.010309278350515464,0.021739130434782608,0.012195121951219513
0.987012987012987,0.013513513513513514,0.014285714285714285,0.0125,0.0196078431372549
0.023809523809523808,0.0625,0.017857142857142856,0.011627906976744186,0.012345679012345678
0.011235955056179775,0.013888888888888888,0.05,0.047619047619047616,0.012345679012345678
0.9866666666666667,0.014285714285714285,0.02,0.019230769230769232,0.494949494949495
0.96875,0.011363636363636364,0.015151515151515152,0.010752688172043012,0.045454545454545456
0.010869565217391304,0.01282051282051282,0.04,0.014925373134328358,0.03225806451612903
0.010638297872340425,0.03125,0.010638297872340425,0.0,0.01818181818181818
0.9824561403508771,0.01282051282051282,0.01818181818181818,0.022727272727272728,0.025
0.06666666666666667,0.05555555555555555,0.03571428571428571,0.03225806451612903,0.03125
0.5,0.02631578947368421,0.01694915254237288,0.011363636363636364,0.015151515151515152
0.03571428571428571,0.013888888888888888,0.04,0.027777777777777776,0.011363636363636364
0.5,0.015384615384615385,0.05555555555555555,0.010309278350515464,0.016666666666666666
0.9791666666666666,0.010309278350515464,0.02564102564102564,0.014084507042253521,0.01694915254237288
0.9855072463768116,0.013513513513513514,0.02631578947368421,0.013888888888888888,0.07142857142857142
0.9878048780487805,0.07142857142857142,0.019230769230769232,0.5,0.01818181818181818
0.48,0.01694915254237288,0.02702702702702703,0.025,0.01
