
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,0.9868421052631579,0.9861111111111112,0.9827586206896551,1.0
0.9777777777777777,0.9375,0.96,0.9787234042553191,0.9166666666666666
0.9838709677419355,0.9863013698630136,0.9791666666666666,1.0,1.0
1.0,0.9895833333333334,1.0,1.0,0.9863013698630136
0.9873417721518988,0.9894736842105263,1.0,0.9894736842105263,0.9807692307692307
1.0,0.9814814814814815,1.0,0.9838709677419355,1.0
0.9473684210526315,0.9882352941176471,0.9666666666666667,0.9830508474576272,0.975
0.9565217391304348,1.0,1.0,0.9863013698630136,0.9811320754716981
0.9883720930232558,0.9833333333333333,0.9545454545454546,0.9230769230769231,0.9821428571428571
1.0,1.0,0.9894736842105263,0.9885057471264368,0.9830508474576272
0.989247311827957,0.989010989010989,1.0,0.9841269841269841,0.9166666666666666
1.0,0.9855072463768116,0.96875,0.9827586206896551,0.972972972972973
1.0,0.9814814814814815,1.0,1.0,0.972972972972973
0.9655172413793104,1.0,0.9777777777777777,1.0,1.0
0.9736842105263158,0.989247311827957,0.9852941176470589,0.9814814814814815,0.9772727272727273
1.0,0.9861111111111112,0.9836065573770492,0.9852941176470589,0.9897959183673469
0.9705882352941176,1.0,0.9714285714285714,0.9818181818181818,0.989247311827957
1.0,0.9871794871794872,0.9583333333333334,0.9836065573770492,1.0
0.9722222222222222,0.9896907216494846,0.9761904761904762,1.0,1.0
1.0,1.0,0.9803921568627451,1.0,0.9873417721518988

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.11555555555555555,0.5,0.5138888888888888,0.5,0.46153846153846156
0.5911111111111111,0.4375,0.04,0.40425531914893614,0.08333333333333333
0.5,0.0136986301369863,0.5208333333333334,0.525,0.4666666666666667
0.4,0.010416666666666666,0.0,0.0,0.0
0.6987341772151898,0.4,0.5,0.49473684210526314,0.019230769230769232
0.40224719101123596,0.018518518518518517,0.03125,0.016129032258064516,0.012987012987012988
0.4,0.011764705882352941,0.03333333333333333,0.4067796610169492,0.475
0.5043478260869565,0.49,0.058823529411764705,0.0136986301369863,0.018867924528301886
0.40232558139534885,0.016666666666666666,0.5,0.07692307692307693,0.017857142857142856
0.32,0.0,0.010526315789473684,0.011494252873563218,0.01694915254237288
0.8924731182795699,0.01098901098901099,0.05,0.015873015873015872,0.08333333333333333
0.59,0.014492753623188406,0.03125,0.017241379310344827,0.02702702702702703
0.4121212121212121,0.018518518518518517,0.01282051282051282,0.010752688172043012,0.0
0.496551724137931,0.0625,0.022222222222222223,0.45454545454545453,0.475
0.5947368421052631,0.010752688172043012,0.014705882352941176,0.018518518518518517,0.022727272727272728
0.6954545454545454,0.013888888888888888,0.01639344262295082,0.014705882352941176,0.01020408163265306
0.40588235294117647,0.0625,0.4,0.38181818181818183,0.5053763440860215
0.62,0.01282051282051282,0.0,0.0,0.0
