run,value,metric,statistic
0,2.25,satisfaction,mean
1,3.25,satisfaction,mean
2,3.5,satisfaction,mean
3,5.25,satisfaction,mean
4,5.75,satisfaction,mean
0,0.25,satisfaction,standard_error
1,0.9464847243000456,satisfaction,standard_error
2,0.8660254037844386,satisfaction,standard_error
3,1.6520189667999174,satisfaction,standard_error
4,1.3149778198382918,satisfaction,standard_error
0,2.3333333333333335,harmlessness,average_mean
1,3.3333333333333335,harmlessness,average_mean
2,3.6666666666666665,harmlessness,average_mean
3,7.0,harmlessness,average_mean
4,6.0,harmlessness,average_mean
0,0.33333333333333337,harmlessness,average_standard_error
1,0.6666666666666666,harmlessness,average_standard_error
2,0.8819171036881969,harmlessness,average_standard_error
3,1.5275252316519468,harmlessness,average_standard_error
4,1.5275252316519468,harmlessness,average_standard_error
