Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.04,0.0196078431372549,0.043478260869565216,0.018867924528301886,0.020833333333333332
0.09090909090909091,0.018518518518518517,0.029411764705882353,0.017543859649122806,0.016666666666666666
0.1,0.010416666666666666,0.02040816326530612,0.012195121951219513,0.011494252873563218
0.015625,0.01098901098901099,0.010101010101010102,0.011111111111111112,0.013333333333333334
0.05555555555555555,0.014492753623188406,0.012345679012345678,0.0125,0.019230769230769232
0.022727272727272728,0.02,0.02564102564102564,0.07692307692307693,0.014285714285714285
0.014285714285714285,0.03125,0.017543859649122806,0.014492753623188406,0.011764705882352941
0.0125,0.011363636363636364,0.016666666666666666,0.07142857142857142,0.011494252873563218
0.058823529411764705,0.0,0.03125,0.0,0.06666666666666667
0.011627906976744186,0.0196078431372549,0.01,0.013513513513513514,0.03333333333333333
0.014705882352941176,0.022222222222222223,0.02631578947368421,0.010526315789473684,0.0136986301369863
0.016666666666666666,0.016129032258064516,0.0625,0.02564102564102564,0.043478260869565216
0.09090909090909091,0.010526315789473684,0.05263157894736842,0.010416666666666666,0.011904761904761904
0.07142857142857142,0.012345679012345678,0.016666666666666666,0.02,0.041666666666666664
0.034482758620689655,0.06666666666666667,0.012658227848101266,0.014084507042253521,0.011235955056179775
0.03125,0.03571428571428571,0.02564102564102564,0.011627906976744186,0.012345679012345678
0.010752688172043012,0.058823529411764705,0.07692307692307693,0.014285714285714285,0.03333333333333333
0.05,0.01,0.012987012987012988,0.018867924528301886,0.010416666666666666
0.011627906976744186,0.022222222222222223,0.05263157894736842,0.034482758620689655,0.037037037037037035
0.011904761904761904,0.022727272727272728,0.01282051282051282,0.015384615384615385,0.02040816326530612

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6,0.0196078431372549,0.043478260869565216,0.0,0.020833333333333332
0.34545454545454546,0.018518518518518517,0.47058823529411764,0.017543859649122806,0.016666666666666666
0.44,0.010416666666666666,0.9795918367346939,0.5,0.011494252873563218
0.309375,0.4945054945054945,0.494949494949495,0.011111111111111112,0.013333333333333334
0.5222222222222223,0.014492753623188406,0.3333333333333333,0.0125,0.019230769230769232
0.7,0.48,0.48717948717948717,0.07692307692307693,0.014285714285714285
0.5,0.03125,0.017543859649122806,0.014492753623188406,0.49411764705882355
0.505,0.5,0.016666666666666666,0.07142857142857142,0.011494252873563218
0.43529411764705883,0.0,0.03125,0.0,0.06666666666666667
0.7,0.49019607843137253,0.49,0.013513513513513514,0.03333333333333333
