
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,0.3333333333333333,0.0,0.5,0.0
0.4918032786885246,0.0,0.48936170212765956,0.0,0.0
0.4827586206896552,0.46153846153846156,0.0,0.0,0.0
0.5,0.46153846153846156,0.4782608695652174,0.0,0.0
0.4942528735632184,0.4915254237288136,0.0,0.0,0.48936170212765956
0.5,0.4166666666666667,0.47368421052631576,0.4942528735632184,0.0
0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.5,0.0,0.49019607843137253,0.5
0.4931506849315068,0.4925373134328358,0.0,0.0,0.46875
0.0,0.0,0.0,0.0,0.0
0.0,0.4782608695652174,0.4878048780487805,0.4935064935064935,0.0
0.4945054945054945,0.4897959183673469,0.48484848484848486,0.49411764705882355,0.5
0.49382716049382713,0.5,0.47619047619047616,0.4945054945054945,0.0
0.0,0.0,0.0,0.0,0.47619047619047616
0.47058823529411764,0.0,0.0,0.4857142857142857,0.0
0.0,0.0,0.47368421052631576,0.0,0.48484848484848486
0.0,0.0,0.0,0.5,0.4946236559139785
0.0,0.0,0.4878048780487805,0.0,0.4925373134328358
0.4838709677419355,0.0,0.0,0.4915254237288136,0.4897959183673469
0.0,0.49382716049382713,0.0,0.475,0.4782608695652174

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6894736842105263,0.05555555555555555,0.0,0.013157894736842105,0.01020408163265306
0.6983606557377049,0.017241379310344827,0.02127659574468085,0.017857142857142856,0.05
0.5862068965517241,0.07692307692307693,0.48,0.4897959183673469,0.5
0.6957446808510638,0.46153846153846156,0.6086956521739131,0.765625,0.5102040816326531
0.30344827586206896,0.01694915254237288,0.08333333333333333,0.02631578947368421,0.02127659574468085
0.4022727272727273,0.4166666666666667,0.5263157894736842,0.5057471264367817,0.5125
0.20810810810810812,0.016129032258064516,0.010869565217391304,0.014285714285714285,0.03571428571428571
0.5888888888888889,0.010416666666666666,0.5,0.49019607843137253,0.5
0.4,0.014925373134328358,0.49295774647887325,0.33695652173913043,0.46875
0.6923076923076923,0.08333333333333333,0.0625,0.02127659574468085,0.5
0.5,0.043478260869565216,0.4878048780487805,0.4935064935064935,0.6
0.5956043956043956,0.40816326530612246,0.48484848484848486,0.49411764705882355,0.5
0.3037037037037037,0.4868421052631579,0.47619047619047616,0.4945054945054945,0.3333333333333333
0.5961538461538461,0.02702702702702703,0.037037037037037035,0.019230769230769232,0.047619047619047616
0.4117647058823529,0.029411764705882353,0.02564102564102564,0.02857142857142857,0.015625
0.21363636363636362,0.5,0.47368421052631576,0.35714285714285715,0.015151515151515152
0.12432432432432433,0.020833333333333332,0.36,0.46875,0.010752688172043012
0.6988235294117647,0.023255813953488372,0.0,0.5,0.3283582089552239
0.3225806451612903,0.5,0.010526315789473684,0.01694915254237288,0.02040816326530612
0.9,0.012345679012345678,0.013888888888888888,0.025,0.0

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.2,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.4
0.2,0.0,0.0,0.4,0.0
0.2,0.6,0.0,0.0,0.0
0.0,0.0,0.4,0.0,0.4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.4,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.6,0.4,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6,1.0,0.0,0.6,0.6
0.4,0.6,1.0,0.6,0.6
0.0,1.0,0.6,0.6,0.6
0.4,1.0,1.0,0.6,0.6
0.6,1.0,0.6,0.6,0.6
0.2,0.0,1.0,1.0,0.6
0.4,0.6,0.6,1.0,1.0
0.4,1.0,0.6,1.0,1.0
0.4,1.0,0.6,0.6,1.0
0.6,0.6,1.0,0.6,0.6
0.0,0.0,1.0,1.0,0.6
0.6,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,0.6
0.2,1.0,1.0,1.0,0.6
0.6,0.6,0.6,0.6,1.0
0.4,0.6,1.0,0.6,1.0
0.4,1.0,0.6,1.0,1.0
0.6,0.6,0.4,0.6,1.0
1.0,0.6,0.6,1.0,1.0
0.2,1.0,0.6,1.0,0.4

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.2,0.26666666666666666,0.0,0.0,0.0
0.0,0.0,0.20425531914893616,0.0,0.0
0.0,0.2153846153846154,0.0,0.0,0.0
0.0,0.2153846153846154,0.20869565217391303,0.0,0.0
0.20229885057471264,0.5084745762711864,0.0,0.0,0.0
0.0,0.0,0.21052631578947367,0.20229885057471264,0.0
0.0,0.0,0.0,0.4,0.4
0.0,0.2,0.0,0.20392156862745098,0.2
0.10136986301369863,0.20298507462686566,0.0,0.0,0.2125
0.4,0.0,0.4,0.0,0.0
0.0,0.0,0.2048780487804878,0.2025974025974026,0.0
0.2021978021978022,0.20408163265306123,0.20606060606060606,0.2023529411764706,0.2
0.20246913580246914,0.2,0.20952380952380953,0.2021978021978022,0.0
0.0,0.4,0.4,0.4,0.0
0.0,0.0,0.0,0.0,0.4
0.2,0.0,0.21052631578947367,0.0,0.20606060606060606
0.2,0.4,0.0,0.2,0.2021505376344086
0.0,0.0,0.5121951219512195,0.0,0.20298507462686566
0.2064516129032258,0.0,0.0,0.2033898305084746,0.20408163265306123
0.0,0.20246913580246914,0.0,0.21,0.20869565217391303

Fixed Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.19473684210526315,0.0,0.0,0.0,0.0
0.2983606557377049,0.0,0.0,0.0,0.0
0.38620689655172413,0.0,0.0,0.0,0.2
0.19787234042553192,0.0,0.0,0.30625,0.0
0.19770114942528735,0.29491525423728815,0.0,0.0,0.0
0.0,0.0,0.21052631578947367,0.0,0.205
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.19726027397260273,0.0,0.0,0.0,0.0
0.29615384615384616,0.0,0.0,0.0,0.0
0.19666666666666666,0.0,0.0,0.0,0.0
0.1978021978021978,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3923076923076923,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.1,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2988235294117647,0.0,0.2926829268292683,0.2,0.0
0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0

Flexible Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.11052631578947368,0.5666666666666667,0.0,0.5921052631578947,0.5938775510204082
0.2983606557377049,0.5896551724137931,0.5872340425531914,0.5892857142857143,0.57
0.013793103448275862,0.5538461538461539,0.312,0.30612244897959184,0.5
0.006382978723404255,0.3230769230769231,0.23478260869565218,0.234375,0.2938775510204082
0.2,0.5898305084745763,0.55,0.5842105263157895,0.5872340425531914
0.0022727272727272726,0.0,0.47368421052631576,0.296551724137931,0.4875
0.2972972972972973,0.5903225806451613,0.5934782608695652,0.5914285714285714,0.5785714285714286
0.022222222222222223,0.59375,0.3,0.3058823529411765,0.3
0.2,0.591044776119403,0.30422535211267604,0.3978260869565217,0.31875
0.1076923076923077,0.55,0.5625,0.5872340425531914,0.3
0.0033333333333333335,0.0,0.3073170731707317,0.3038961038961039,0.24
