
Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.9897959183673469,1.0,0.9878048780487805,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.9891304347826086
1.0,1.0,1.0,1.0,1.0

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.75,0.6923076923076923,0.6551724137931034,0.7272727272727273,0.6666666666666666
0.7142857142857143,0.8275862068965517,0.8333333333333334,0.6875,0.7441860465116279
0.7,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.7037037037037037
0.6774193548387096,0.6987951807228916,0.8,0.6666666666666666,0.6666666666666666
0.75,0.7037037037037037,0.8,0.7692307692307693,0.6666666666666666
0.6666666666666666,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.75
0.7959183673469388,0.6666666666666666,0.8048780487804879,0.6703296703296703,0.7972972972972973
0.8571428571428571,0.6666666666666666,0.8314606741573034,0.6666666666666666,0.6666666666666666
0.8076923076923077,0.75,0.75,0.8,0.75
0.6666666666666666,0.8181818181818182,0.7471264367816092,0.6666666666666666,0.6666666666666666

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.6,0.6
0.6,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.01020408163265306,0.0,0.012195121951219513,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.010869565217391304
0.0,0.0,0.0,0.0,0.0

Fixed Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9,0.8769230769230769,0.8620689655172413,0.8909090909090909,0.8666666666666667
0.8857142857142857,0.9310344827586207,0.9333333333333333,0.875,0.8976744186046511
0.88,0.9333333333333333,0.8666666666666667,0.8857142857142857,0.8814814814814815
0.8709677419354839,0.8795180722891566,0.92,0.8666666666666667,0.8666666666666667
0.9,0.8814814814814815,0.92,0.9076923076923077,0.8666666666666667
0.8666666666666667,0.8814814814814815,0.8666666666666667,0.8666666666666667,0.9
0.5938775510204082,0.8666666666666667,0.9146341463414634,0.8681318681318682,0.918918918918919
0.9428571428571428,0.8666666666666667,0.9325842696629213,0.6,0.6
0.6,0.9,0.9,0.92,0.8934782608695652
0.8666666666666667,0.9272727272727272,0.8988505747126436,0.8666666666666667,0.8666666666666667

Flexible Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.25,0.3076923076923077,0.3448275862068966,0.2727272727272727,0.3333333333333333
0.2857142857142857,0.1724137931034483,0.16666666666666666,0.3125,0.2558139534883721
0.3,0.16666666666666666,0.3333333333333333,0.2857142857142857,0.2962962962962963
0.3225806451612903,0.30120481927710846,0.2,0.3333333333333333,0.3333333333333333
0.25,0.2962962962962963,0.2,0.23076923076923078,0.3333333333333333
0.3333333333333333,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.25
0.12244897959183673,0.3333333333333333,0.1951219512195122,0.32967032967032966,0.20270270270270271
0.14285714285714285,0.3333333333333333,0.16853932584269662,0.2,0.2
0.11538461538461539,0.25,0.25,0.2,0.25
0.3333333333333333,0.18181818181818182,0.25287356321839083,0.3333333333333333,0.3333333333333333

Flexible Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.85,0.8153846153846154,0.7931034482758621,0.8363636363636363,0.8
0.8285714285714286,0.896551724137931,0.9,0.8125,0.8465116279069768
0.82,0.9,0.8,0.8285714285714286,0.8222222222222222
0.8064516129032258,0.8192771084337349,0.88,0.8,0.8
0.85,0.8222222222222222,0.88,0.8615384615384616,0.8
0.8,0.8222222222222222,0.8,0.8,0.85
0.8734693877551021,0.8,0.8780487804878049,0.8021978021978022,0.8783783783783784
0.9142857142857143,0.8,0.898876404494382,0.8,0.8
0.8846153846153846,0.85,0.85,0.88,0.8456521739130435
0.8,0.8909090909090909,0.8482758620689655,0.8,0.8
