Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.010416666666666666,0.02857142857142857,0.012195121951219513,0.03333333333333333,0.0136986301369863
0.05,0.03125,0.05,0.04,0.01
0.012048192771084338,0.022727272727272728,0.011235955056179775,0.014084507042253521,0.012987012987012988
0.017857142857142856,0.019230769230769232,0.041666666666666664,0.018518518518518517,0.01694915254237288
0.022222222222222223,0.01098901098901099,0.015151515151515152,0.013513513513513514,0.0625
0.014925373134328358,0.022727272727272728,0.023809523809523808,0.08333333333333333,0.012048192771084338
0.018867924528301886,0.024390243902439025,0.018867924528301886,0.015151515151515152,0.07692307692307693
0.08333333333333333,0.01282051282051282,0.019230769230769232,0.018518518518518517,0.043478260869565216
0.019230769230769232,0.014925373134328358,0.012658227848101266,0.023809523809523808,0.01282051282051282
0.058823529411764705,0.018867924528301886,0.05555555555555555,0.06666666666666667,0.02631578947368421
0.019230769230769232,0.013333333333333334,0.013513513513513514,0.011363636363636364,0.021739130434782608
0.05,0.0625,0.027777777777777776,0.03125,0.016666666666666666
0.011627906976744186,0.05263157894736842,0.010752688172043012,0.018518518518518517,0.010869565217391304
0.015384615384615385,0.01282051282051282,0.02631578947368421,0.016129032258064516,0.016666666666666666
0.012195121951219513,0.011363636363636364,0.01694915254237288,0.010526315789473684,0.019230769230769232
0.1,0.034482758620689655,0.022727272727272728,0.010309278350515464,0.02
0.012987012987012988,0.014705882352941176,0.024390243902439025,0.014925373134328358,0.08333333333333333
0.05263157894736842,0.010309278350515464,0.015625,0.058823529411764705,0.0136986301369863
0.030303030303030304,0.015873015873015872,0.019230769230769232,0.0196078431372549,0.08333333333333333
0.011904761904761904,0.08333333333333333,0.03333333333333333,0.016666666666666666,0.022222222222222223

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.3333333333333333,0.4857142857142857,0.5,0.5,0.4931506849315068
0.4,0.375,0.4,0.4,0.4
0.3373493975903614,0.4772727272727273,0.3258426966292135,0.43661971830985913,0.35064935064935066
0.4642857142857143,0.4807692307692308,0.4583333333333333,0.46296296296296297,0.3220338983050847
0.4888888888888889,0.32967032967032966,0.4696969696969697,0.4594594594594595,0.4375
0.3283582089552239,0.4772727272727273,0.47619047619047616,0.4166666666666667,0.3373493975903614
0.49056603773584906,0.4878048780487805,0.49056603773584906,0.48484848484848486,0.46153846153846156
0.4166666666666667,0.48717948717948717,0.4807692307692308,0.46296296296296297,0.4782608695652174
0.34615384615384615,0.3283582089552239,0.34177215189873417,0.47619047619047616,0.3333333333333333
0.47058823529411764,0.4716981132075472,0.4444444444444444,0.4666666666666667,0.47368421052631576
0.4807692307692308,0.4666666666666667,0.5,0.5,0.5
0.45,0.4375,0.5,0.46875,0.5
0.5,0.47368421052631576,0.4946236559139785,0.5,0.5
0.46153846153846156,0.3333333333333333,0.47368421052631576,0.3548387096774194,0.3333333333333333
0.5,0.5,0.4915254237288136,0.49473684210526314,0.4807692307692308
0.4,0.3103448275862069,0.4772727272727273,0.32989690721649484,0.4
0.4935064935064935,0.5,0.4878048780487805,0.4925373134328358,0.4166666666666667
0.47368421052631576,0.4948453608247423,0.5,0.47058823529411764,0.4931506849315068
0.3333333333333333,0.3333333333333333,0.34615384615384615,0.49019607843137253,0.4166666666666667
0.5,0.4166666666666667,0.5,0.4166666666666667,0.4888888888888889

Fixed Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6

Flexible Bar Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0

Fixed Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.9895833333333334,0.9714285714285714,0.9878048780487805,0.9666666666666667,0.9863013698630136
0.95,0.96875,0.95,0.96,0.99
0.9879518072289156,0.9772727272727273,0.9887640449438202,0.9859154929577465,0.987012987012987
0.9821428571428571,0.9807692307692307,0.9583333333333334,0.9814814814814815,0.9830508474576272
0.9777777777777777,0.989010989010989,0.9848484848484849,0.9864864864864865,0.9375
0.9850746268656716,0.9772727272727273,0.9761904761904762,0.9166666666666666,0.9879518072289156
0.9811320754716981,0.975609756097561,0.9811320754716981,0.9848484848484849,0.9230769230769231
0.9166666666666666,0.9871794871794872,0.9807692307692307,0.9814814814814815,0.9565217391304348
0.9807692307692307,0.9850746268656716,0.9873417721518988,0.9761904761904762,0.9871794871794872
0.9411764705882353,0.9811320754716981,0.9444444444444444,0.9333333333333333,0.9736842105263158
0.9807692307692307,0.9866666666666667,0.9864864864864865,0.9886363636363636,0.9782608695652174
0.95,0.9375,0.9722222222222222,0.96875,0.9833333333333333
0.9883720930232558,0.9473684210526315,0.989247311827957,0.9814814814814815,0.9891304347826086
0.9846153846153847,0.9871794871794872,0.9736842105263158,0.9838709677419355,0.9833333333333333
0.9878048780487805,0.9886363636363636,0.9830508474576272,0.9894736842105263,0.9807692307692307
0.9,0.9655172413793104,0.9772727272727273,0.9896907216494846,0.98
0.987012987012987,0.9852941176470589,0.975609756097561,0.9850746268656716,0.9166666666666666
0.9473684210526315,0.9896907216494846,0.984375,0.9411764705882353,0.9863013698630136
0.9696969696969697,0.9841269841269841,0.9807692307692307,0.9803921568627451,0.9166666666666666
0.9880952380952381,0.9166666666666666,0.9666666666666667,0.9833333333333333,0.9777777777777777

Fixed Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.00625,0.017142857142857144,0.007317073170731708,0.02,0.00821917808219178
0.03,0.01875,0.03,0.024,0.006
0.007228915662650603,0.013636363636363636,0.006741573033707865,0.008450704225352112,0.007792207792207792
0.010714285714285714,0.011538461538461539,0.025,0.011111111111111112,0.010169491525423728
0.013333333333333334,0.006593406593406593,0.00909090909090909,0.008108108108108109,0.0375
0.008955223880597015,0.013636363636363636,0.014285714285714285,0.05,0.007228915662650603
0.011320754716981131,0.014634146341463415,0.011320754716981131,0.00909090909090909,0.046153846153846156
0.05,0.007692307692307693,0.011538461538461539,0.011111111111111112,0.02608695652173913
0.011538461538461539,0.008955223880597015,0.007594936708860759,0.014285714285714285,0.007692307692307693
0.03529411764705882,0.011320754716981131,0.03333333333333333,0.04,0.015789473684210527
0.011538461538461539,0.008,0.008108108108108109,0.006818181818181818,0.013043478260869565
0.03,0.0375,0.016666666666666666,0.01875,0.01
0.0069767441860465115,0.031578947368421054,0.0064516129032258064,0.011111111111111112,0.006521739130434782
0.009230769230769232,0.007692307692307693,0.015789473684210527,0.00967741935483871,0.01
0.007317073170731708,0.006818181818181818,0.010169491525423728,0.00631578947368421,0.011538461538461539
0.06,0.020689655172413793,0.013636363636363636,0.006185567010309278,0.012
0.007792207792207792,0.008823529411764706,0.014634146341463415,0.008955223880597015,0.05
0.031578947368421054,0.006185567010309278,0.009375,0.03529411764705882,0.00821917808219178
0.01818181818181818,0.009523809523809525,0.011538461538461539,0.011764705882352941,0.05
0.007142857142857143,0.05,0.02,0.01,0.013333333333333334

Flexible Dictator Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.4,0.30857142857142855,0.3,0.3,0.3041095890410959
0.36,0.375,0.36,0.36,0.36
0.39759036144578314,0.31363636363636366,0.4044943820224719,0.3380281690140845,0.38961038961038963
0.32142857142857145,0.31153846153846154,0.325,0.32222222222222224,0.4067796610169492
0.30666666666666664,0.4021978021978022,0.3181818181818182,0.32432432432432434,0.3375
0.40298507462686567,0.31363636363636366,0.3142857142857143,0.35,0.39759036144578314
0.30566037735849055,0.3073170731707317,0.30566037735849055,0.3090909090909091,0.3230769230769231
0.35,0.3076923076923077,0.31153846153846154,0.32222222222222224,0.3130434782608696
0.3923076923076923,0.40298507462686567,0.3949367088607595,0.3142857142857143,0.4
0.3176470588235294,0.3169811320754717,0.3333333333333333,0.32,0.3157894736842105
0.31153846153846154,0.32,0.3,0.3,0.3
0.33,0.3375,0.3,0.31875,0.3
0.3,0.3157894736842105,0.3032258064516129,0.3,0.3
0.3230769230769231,0.4,0.3157894736842105,0.3870967741935484,0.4
0.3,0.3,0.3050847457627119,0.3031578947368421,0.31153846153846154
0.36,0.41379310344827586,0.31363636363636366,0.4020618556701031,0.36
0.3038961038961039,0.3,0.3073170731707317,0.3044776119402985,0.35
0.3157894736842105,0.3030927835051546,0.3,0.3176470588235294,0.3041095890410959
0.4,0.4,0.3923076923076923,0.3058823529411765,0.35
0.3,0.35,0.3,0.35,0.30666666666666664

Flexible Decider Income Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.20416666666666666,0.3028571428571429,0.3048780487804878,0.31333333333333335,0.3013698630136986
0.26,0.2375,0.26,0.256,0.244
0.20722891566265061,0.29545454545454547,0.2,0.2676056338028169,0.21558441558441557
0.2857142857142857,0.29615384615384616,0.2916666666666667,0.2851851851851852,0.2
0.3022222222222222,0.2021978021978022,0.2878787878787879,0.2810810810810811,0.2875
0.20298507462686566,0.29545454545454547,0.29523809523809524,0.2833333333333333,0.20722891566265061
0.3018867924528302,0.3024390243902439,0.3018867924528302,0.296969696969697,0.3076923076923077
0.2833333333333333,0.29743589743589743,0.29615384615384616,0.2851851851851852,0.30434782608695654
0.2153846153846154,0.20298507462686566,0.21012658227848102,0.29523809523809524,0.20512820512820512
0.3058823529411765,0.29056603773584905,0.28888888888888886,0.30666666666666664,0.29473684210526313
0.29615384615384616,0.2853333333333333,0.3054054054054054,0.30454545454545456,0.30869565217391304
0.29,0.2875,0.3111111111111111,0.29375,0.30666666666666664
0.30465116279069765,0.30526315789473685,0.3010752688172043,0.3074074074074074,0.30434782608695654
0.28307692307692306,0.20512820512820512,0.29473684210526313,0.21935483870967742,0.20666666666666667
0.3048780487804878,0.30454545454545456,0.3016949152542373,0.30105263157894735,0.29615384615384616
0.28,0.2,0.29545454545454547,0.2020618556701031,0.248
0.3012987012987013,0.3058823529411765,0.3024390243902439,0.30149253731343284,0.2833333333333333
0.30526315789473685,0.30103092783505153,0.30625,0.3058823529411765,0.3013698630136986
0.21212121212121213,0.20634920634920634,0.2153846153846154,0.30196078431372547,0.2833333333333333
0.3047619047619048,0.2833333333333333,0.31333333333333335,0.25666666666666665,0.3022222222222222

