Fixed Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.010638297872340425,0.016129032258064516,0.010309278350515464,0.05,0.020833333333333332
0.02564102564102564,0.025,0.03333333333333333,0.011904761904761904,0.01694915254237288
0.010526315789473684,0.013513513513513514,0.023255813953488372,0.014925373134328358,0.012658227848101266
0.012658227848101266,0.015384615384615385,0.02040816326530612,0.013157894736842105,0.017241379310344827
0.013513513513513514,0.06666666666666667,0.010526315789473684,0.08333333333333333,0.011363636363636364
0.020833333333333332,0.017857142857142856,0.02127659574468085,0.0125,0.030303030303030304
0.016129032258064516,0.027777777777777776,0.02564102564102564,0.010869565217391304,0.0136986301369863
0.023255813953488372,0.013888888888888888,0.0625,0.011764705882352941,0.011111111111111112
0.01,0.01818181818181818,0.016666666666666666,0.018867924528301886,0.025
0.015384615384615385,0.02857142857142857,0.014925373134328358,0.01282051282051282,0.038461538461538464
0.010309278350515464,0.02702702702702703,0.05,0.1,0.02857142857142857
0.07692307692307693,0.043478260869565216,0.07692307692307693,0.017543859649122806,0.016129032258064516
0.014084507042253521,0.043478260869565216,0.05555555555555555,0.014285714285714285,0.02040816326530612
0.1,0.1,0.012195121951219513,0.0125,0.018867924528301886
0.02857142857142857,0.038461538461538464,0.012658227848101266,0.01639344262295082,0.03571428571428571
0.012658227848101266,0.03225806451612903,0.08333333333333333,0.05,0.01020408163265306
0.010416666666666666,0.016666666666666666,0.02564102564102564,0.027777777777777776,0.047619047619047616
0.030303030303030304,0.0625,0.041666666666666664,0.05,0.037037037037037035
0.023255813953488372,0.014084507042253521,0.013333333333333334,0.0136986301369863,0.018867924528301886
0.05,0.016129032258064516,0.015873015873015872,0.011627906976744186,0.02

Flexible Plot Data
Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4
0.5,0.5,0.6597938144329897,0.65,0.6666666666666666
0.6666666666666666,0.65,0.6666666666666666,0.5,0.5084745762711864
0.49473684210526314,0.5,0.9767441860465116,0.6716417910447762,0.8734177215189873
0.7468354430379747,0.6615384615384615,0.5102040816326531,0.5,0.6551724137931034
0.5,0.6666666666666666,0.9473684210526315,0.6666666666666666,0.5
0.6666666666666666,0.5,0.6808510638297872,0.625,0.6666666666666666
0.6774193548387096,0.6666666666666666,0.6666666666666666,0.5,0.6986301369863014
0.9767441860465116,0.5,0.6875,0.49411764705882355,0.6666666666666666
0.4,0.6363636363636364,0.6666666666666666,0.49056603773584906,0.65
